,Unnamed: 0,Area,Battery/Assault,Sex Crimes,Vandalism/Arson,Theft,Misdemeanor,Child Crimes,Total,Lat,Lon,Year
0,0,Southwest,3408,164,744,4940,861,134,10251,33.97753130704515,-118.16870558345047,2020
1,1,Central,3665,201,1012,5157,690,30,10755,33.92821619893493,-117.83658163408208,2020
2,2,Mission,2168,118,578,4109,736,133,7842,34.13620698530559,-118.03678923969676,2020
3,3,Devonshire,1598,83,429,4528,609,56,7303,34.152418177633194,-118.20074253007613,2020
4,4,Northeast,1648,82,579,4777,608,46,7740,34.066722470738206,-118.10467286186116,2020
5,5,Harbor,2382,106,649,4043,819,117,8116,33.710239066010814,-118.0697419384223,2020
6,6,Van Nuys,1876,76,589,4739,653,77,8010,34.10625581108468,-118.19666704261756,2020
7,7,West LA,1435,85,505,5751,741,21,8538,34.01083015243323,-118.2990170556748,2020
8,8,Wilshire,2011,115,637,5041,697,64,8565,33.94970267008047,-117.96252588567248,2020
9,9,Rampart,2769,118,683,4149,520,45,8284,33.97148646871743,-117.95491239009006,2020
10,10,77th Street,4770,190,856,5133,1038,178,12165,33.88860225896738,-117.987223324136,2020
11,11,Hollenbeck,2177,94,552,3682,588,74,7167,33.96089576517812,-117.87900574343536,2020
12,12,Southeast,3876,144,637,4362,716,157,9892,33.81390335598665,-117.83168949462498,2020
13,13,Hollywood,2644,142,792,5031,748,40,9397,33.85585375091042,-117.48462383290652,2020
14,14,Topanga,1756,99,445,4409,708,42,7459,34.16183545568421,-118.49592674834255,2020
15,15,West Valley,1845,116,519,4226,643,60,7409,34.15056726498779,-118.39389307316782,2020
16,16,Foothill,1808,74,464,3424,630,79,6479,34.15522395595341,-118.05481758492829,2020
17,17,Olympic,2676,173,655,4730,573,62,8869,33.95628165476545,-117.93966834771398,2020
18,18,Newton,2946,125,742,4693,596,80,9182,33.930674722981365,-117.987422842236,2020
19,19,Pacific,2134,120,669,6837,864,40,10664,33.86182412966968,-117.9976615294916,2020
20,20,N Hollywood,2202,102,661,5494,789,59,9307,34.09959279621801,-118.13599255609196,2020
21,0,Mission,2039,115,476,4283,777,159,7849,34.13620698530559,-118.03678923969676,2021
22,1,Van Nuys,1865,73,594,5073,691,68,8364,34.10625581108468,-118.19666704261756,2021
23,2,West Valley,1928,120,608,4615,734,84,8089,34.15056726498779,-118.39389307316782,2021
24,3,West LA,1590,102,722,6238,755,23,9430,34.01083015243323,-118.2990170556748,2021
25,4,Central,3891,221,1066,6664,674,20,12536,33.92821619893493,-117.83658163408208,2021
26,5,Pacific,2244,101,848,8228,945,40,12406,33.86182412966968,-117.9976615294916,2021
27,6,Newton,3112,169,750,4668,655,84,9438,33.930674722981365,-117.987422842236,2021
28,7,Foothill,1727,92,463,3662,657,73,6674,34.15522395595341,-118.05481758492829,2021
29,8,Olympic,2967,167,719,5644,626,87,10210,33.95628165476545,-117.93966834771398,2021
30,9,Northeast,1877,89,685,5391,767,62,8871,34.066722470738206,-118.10467286186116,2021
31,10,77th Street,4590,195,848,5467,1133,146,12379,33.88860225896738,-117.987223324136,2021
32,11,Wilshire,2027,140,696,5641,799,39,9342,33.94970267008047,-117.96252588567248,2021
33,12,Hollywood,3057,201,897,6393,961,37,11546,33.85585375091042,-117.48462383290652,2021
34,13,Hollenbeck,2296,80,601,3912,660,65,7614,33.96089576517812,-117.87900574343536,2021
35,14,Devonshire,1731,85,417,5120,718,67,8138,34.152418177633194,-118.20074253007613,2021
36,15,N Hollywood,2314,131,720,6386,857,64,10472,34.09959279621801,-118.13599255609196,2021
37,16,Rampart,2882,149,676,4626,518,75,8926,33.97148646871743,-117.95491239009006,2021
38,17,Topanga,1771,106,451,5058,731,40,8157,34.16183545568421,-118.49592674834255,2021
39,18,Harbor,2522,113,652,4288,746,98,8419,33.710239066010814,-118.0697419384223,2021
40,19,Southwest,3399,193,753,5413,878,130,10766,33.97753130704515,-118.16870558345047,2021
41,20,Southeast,3689,148,664,4505,699,133,9838,33.81390335598665,-117.83168949462498,2021
42,0,Pacific,2125,140,758,8717,924,43,12707,33.86182412966968,-117.9976615294916,2022
43,1,Southwest,3549,177,709,7423,965,126,12949,33.97753130704515,-118.16870558345047,2022
44,2,Hollenbeck,2293,105,539,4601,596,75,8209,33.96089576517812,-117.87900574343536,2022
45,3,West Valley,2255,128,547,6039,851,104,9924,34.15056726498779,-118.39389307316782,2022
46,4,Hollywood,3110,183,835,6799,1184,32,12143,33.85585375091042,-117.48462383290652,2022
47,5,77th Street,4615,182,741,7350,1089,150,14127,33.88860225896738,-117.987223324136,2022
48,6,Southeast,3787,168,557,5832,784,171,11299,33.81390335598665,-117.83168949462498,2022
49,7,Olympic,3211,186,713,6674,758,80,11622,33.95628165476545,-117.93966834771398,2022
50,8,Wilshire,2051,153,669,6856,948,63,10740,33.94970267008047,-117.96252588567248,2022
51,9,Rampart,3153,180,644,6025,687,137,10826,33.97148646871743,-117.95491239009006,2022
52,10,Devonshire,1920,110,465,5919,741,96,9251,34.152418177633194,-118.20074253007613,2022
53,11,Foothill,1736,120,469,4495,701,92,7613,34.15522395595341,-118.05481758492829,2022
54,12,N Hollywood,2300,133,776,6620,923,55,10807,34.09959279621801,-118.13599255609196,2022
55,13,Mission,2186,167,512,5086,806,174,8931,34.13620698530559,-118.03678923969676,2022
56,14,Newton,3346,161,629,6652,680,101,11569,33.930674722981365,-117.987422842236,2022
57,15,Northeast,1999,90,703,6144,822,56,9814,34.066722470738206,-118.10467286186116,2022
58,16,Van Nuys,2071,99,656,5699,718,54,9297,34.10625581108468,-118.19666704261756,2022
59,17,Harbor,2536,143,568,4659,803,124,8833,33.710239066010814,-118.0697419384223,2022
60,18,Central,4631,222,1164,10134,929,42,17122,33.92821619893493,-117.83658163408208,2022
61,19,Topanga,2065,133,505,5574,839,69,9185,34.16183545568421,-118.49592674834255,2022
62,20,West LA,1551,99,690,6950,850,27,10167,34.01083015243323,-118.2990170556748,2022
63,0,77th Street,4002,161,571,5941,872,159,11706,33.88860225896738,-117.987223324136,2023
64,1,Mission,2047,131,434,4000,679,140,7431,34.13620698530559,-118.03678923969676,2023
65,2,N Hollywood,1977,139,717,5647,857,56,9393,34.09959279621801,-118.13599255609196,2023
66,3,Harbor,2088,106,480,4061,726,105,7566,33.710239066010814,-118.0697419384223,2023
67,4,Newton,2992,122,569,5589,708,81,10061,33.930674722981365,-117.987422842236,2023
68,5,West Valley,2066,110,449,4587,851,109,8172,34.15056726498779,-118.39389307316782,2023
69,6,Wilshire,1790,134,609,6243,804,49,9629,33.94970267008047,-117.96252588567248,2023
70,7,Southeast,3312,145,502,4651,662,164,9436,33.81390335598665,-117.83168949462498,2023
71,8,Hollenbeck,2030,81,458,3699,557,80,6905,33.96089576517812,-117.87900574343536,2023
72,9,Central,3883,205,873,7777,1088,30,13856,33.92821619893493,-117.83658163408208,2023
73,10,Hollywood,2535,147,594,5157,1017,27,9477,33.85585375091042,-117.48462383290652,2023
74,11,Rampart,2864,145,491,4928,860,93,9381,33.97148646871743,-117.95491239009006,2023
75,12,West LA,1275,98,592,6022,661,20,8668,34.01083015243323,-118.2990170556748,2023
76,13,Van Nuys,1830,70,522,5143,740,71,8376,34.10625581108468,-118.19666704261756,2023
77,14,Southwest,2978,149,630,6010,995,83,10845,33.97753130704515,-118.16870558345047,2023
78,15,Olympic,2666,135,669,5245,844,72,9631,33.95628165476545,-117.93966834771398,2023
79,16,Foothill,1631,91,357,3150,630,74,5933,34.15522395595341,-118.05481758492829,2023
80,17,Devonshire,1689,98,406,4936,691,72,7892,34.152418177633194,-118.20074253007613,2023
81,18,Northeast,1624,78,585,4976,776,52,8091,34.066722470738206,-118.10467286186116,2023
82,19,Pacific,1812,114,626,8032,767,38,11389,33.86182412966968,-117.9976615294916,2023
83,20,Topanga,1784,120,412,4884,694,36,7930,34.16183545568421,-118.49592674834255,2023
